# start: [7.3738686  0.75035135]mm
# end: [ 7.3738686 19.7893869]mm
# mode: density_graph
# distance (mm),	plasma density (cm^-3)
2.375779455201837642e+00 8.985815624116485120e+17
2.382031506399737264e+00 8.958224920748929280e+17
2.388283557597636886e+00 8.930634215937826560e+17
2.394535608795536508e+00 8.908875421051351040e+17
2.400787659993436129e+00 8.887349265783690240e+17
2.407039711191335751e+00 8.865823110516026880e+17
2.413291762389235373e+00 8.844296955248363520e+17
2.419543813587134995e+00 8.829108476688010240e+17
2.425795864785034617e+00 8.815763622271482880e+17
2.432047915982933795e+00 8.799214705065786880e+17
2.438299967180833416e+00 8.775451436902384640e+17
2.444552018378733038e+00 8.750851031506773760e+17
2.450804069576632660e+00 8.726227864096759040e+17
2.457056120774532282e+00 8.705251407425056000e+17
2.463308171972431904e+00 8.696904520605826560e+17
2.469560223170331525e+00 8.687288265487708160e+17
2.475812274368231147e+00 8.678472786270072320e+17
2.482064325566130769e+00 8.671889091087488000e+17
2.488316376764029947e+00 8.647264580439237120e+17
2.494568427961929569e+00 8.621843458016896000e+17
2.500820479159829191e+00 8.596422334069022720e+17
2.507072530357728812e+00 8.576164727658163200e+17
2.513324581555628434e+00 8.556970852713556480e+17
2.519576632753528056e+00 8.542809685860528640e+17
2.525828683951427678e+00 8.528874670201620480e+17
2.532080735149327300e+00 8.514939657017128960e+17
2.538332786347226921e+00 8.501004643940725760e+17
2.544584837545126099e+00 8.487069629720449280e+17
2.550836888743025721e+00 8.473134617497559040e+17
2.557088939940925343e+00 8.459199603077541120e+17
2.563340991138824965e+00 8.445264588710464000e+17
2.569593042336724587e+00 8.431329576086351360e+17
2.575845093534624208e+00 8.417394563105072640e+17
2.582097144732523830e+00 8.403459548839258880e+17
2.588349195930423452e+00 8.389524533940079360e+17
2.594601247128323074e+00 8.375589520368177920e+17
2.600853298326222252e+00 8.361654507606799360e+17
2.607105349524121873e+00 8.347719492766483200e+17
2.613357400722021495e+00 8.337674994038730240e+17
2.619609451919921117e+00 8.331711988683866880e+17
2.625861503117820739e+00 8.325941982064705280e+17
2.632113554315720361e+00 8.320171974396295680e+17
2.638365605513619983e+00 8.314401967600496640e+17
2.644617656711519604e+00 8.308631961385259520e+17
2.650869707909419226e+00 8.304006755351979520e+17
2.657121759107318848e+00 8.294834259258085120e+17
2.663373810305218026e+00 8.282837387124094720e+17
2.669625861503117648e+00 8.270707133249233920e+17
2.675877912701017269e+00 8.257457956893457920e+17
2.682129963898916891e+00 8.244150508994214400e+17
2.688382015096816513e+00 8.230843059592960000e+17
2.694634066294716135e+00 8.216107210655489280e+17
2.700886117492615757e+00 8.201010190495182080e+17
2.707138168690515379e+00 8.185897983510634240e+17
2.713390219888415000e+00 8.170785775314772480e+17
2.719642271086314178e+00 8.153447795120706560e+17
2.725894322284213800e+00 8.134496172257589760e+17
2.732146373482113422e+00 8.124917495072643840e+17
2.738398424680013044e+00 8.115854574973189120e+17
2.744650475877912665e+00 8.106791654525760000e+17
2.750902527075812287e+00 8.097728734058031360e+17
2.757154578273711909e+00 8.092016883163139840e+17
2.763406629471611531e+00 8.087831620919270400e+17
2.769658680669511153e+00 8.084092825162406400e+17
2.775910731867410330e+00 8.081117751223031040e+17
2.782162783065309952e+00 8.078184637310019840e+17
2.788414834263209574e+00 8.075251525045757440e+17
2.794666885461109196e+00 8.068882243482640640e+17
2.800918936659008818e+00 8.059739567120400640e+17
2.807170987856908440e+00 8.050448510482529280e+17
2.813423039054808061e+00 8.041157450831206400e+17
2.819675090252707683e+00 8.036898225114831360e+17
2.825927141450607305e+00 8.032932975854772480e+17
2.832179192648506483e+00 8.028967729666270720e+17
2.838431243846406105e+00 8.025002482712067840e+17
2.844683295044305726e+00 8.021037234528517120e+17
2.850935346242205348e+00 8.017071986514901760e+17
2.857187397440104970e+00 8.015974570426694400e+17
2.863439448638004592e+00 8.017916563008896000e+17
2.869691499835904214e+00 8.020031638226333440e+17
2.875943551033803836e+00 8.022146715774051840e+17
2.882195602231703457e+00 8.024261792123041280e+17
2.888447653429602635e+00 8.026376869186224640e+17
2.894699704627502257e+00 8.028491943946101760e+17
2.900951755825401879e+00 8.031450659476079360e+17
2.907203807023301501e+00 8.031067676861652480e+17
2.913455858221201122e+00 8.028565804066726400e+17
2.919707909419100744e+00 8.025944527567073280e+17
2.925959960617000366e+00 8.023323248802731520e+17
2.932212011814899988e+00 8.020701969693793280e+17
2.938464063012799610e+00 8.018080690237555200e+17
2.944716114210698787e+00 8.015459411770000640e+17
2.950968165408598409e+00 8.011785802938032640e+17
2.957220216606498031e+00 8.002639735881507840e+17
2.963472267804397653e+00 7.993144719572734720e+17
2.969724319002297275e+00 7.983649704648495360e+17
2.975976370200196897e+00 7.974154689833090560e+17
2.982228421398096518e+00 7.964659674572162560e+17
2.988480472595996140e+00 7.955164657895431680e+17
2.994732523793895762e+00 7.946968298377338880e+17
3.000984574991795384e+00 7.938857974380806400e+17
3.007236626189694562e+00 7.930747648803216640e+17
3.013488677387594183e+00 7.922637325000509440e+17
3.019740728585493805e+00 7.914526997192433920e+17
3.025992779783393427e+00 7.906416672523959040e+17
3.032244830981293049e+00 7.898306344930865920e+17
3.038496882179192671e+00 7.890196021570437120e+17
3.044748933377092293e+00 7.882085696579929600e+17
3.051000984574991914e+00 7.873975368397116160e+17
3.057253035772891536e+00 7.865865045933274880e+17
3.063505086970790714e+00 7.857754720751252480e+17
3.069757138168690336e+00 7.849644392871354880e+17
3.076009189366589958e+00 7.841534068787900160e+17
3.082261240564489579e+00 7.833423743725306880e+17
3.088513291762389201e+00 7.825313416441135360e+17
3.094765342960288823e+00 7.818873172962520320e+17
3.101017394158188445e+00 7.819229679906016000e+17
3.107269445356088067e+00 7.819363923813255680e+17
3.113521496553987689e+00 7.818751835043665920e+17
3.119773547751886866e+00 7.818089847854648320e+17
3.126025598949786488e+00 7.819271153762914560e+17
3.132277650147686110e+00 7.812248409773957120e+17
3.138529701345585732e+00 7.800843453699041280e+17
3.144781752543485354e+00 7.787480478254490880e+17
3.151033803741384975e+00 7.774550969105002240e+17
3.157285854939284597e+00 7.760189585089569280e+17
3.163537906137184219e+00 7.745351715162767360e+17
3.169789957335083841e+00 7.730486640755331840e+17
3.176042008532983019e+00 7.720022155313317120e+17
3.182294059730882640e+00 7.711770869096197120e+17
3.188546110928782262e+00 7.703660544540395520e+17
3.194798162126681884e+00 7.695550220985587200e+17
3.201050213324581506e+00 7.687439895090922240e+17
3.207302264522481128e+00 7.679329567824343040e+17
3.213554315720380750e+00 7.671219243370677760e+17
3.219806366918280371e+00 7.663108917542355200e+17
3.226058418116179993e+00 7.654998593557710080e+17
3.232310469314079171e+00 7.646888267645539840e+17
3.238562520511978793e+00 7.638777943145420800e+17
