,EKSPLA diode,Faraday,4-frame 56A,4-frame 56B,Return Rogowski ROGA,Return Rogowski ROGB,,
-1843.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1842.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1841.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1840.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1839.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1838.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,0.019
-1837.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1836.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1835.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1834.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1833.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1832.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1831.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1830.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1829.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1828.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1827.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1826.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1825.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1824.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1823.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1822.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,0.019
-1821.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1820.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1819.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1818.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,0.019
-1817.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.044
-1816.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1815.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1814.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1813.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1812.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1811.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1810.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1809.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1808.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,0.019
-1807.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.044
-1806.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,0,-0.012
-1805.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1804.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1803.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.044
-1802.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,0.019
-1801.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.044
-1800.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,0.019
-1799.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1798.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1797.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1796.8,0,-0.1,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1795.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1794.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1793.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1792.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1791.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1790.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,0.019
-1789.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1788.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1787.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.044
-1786.8,0,-0.053,-0.25,-0.25,-0.094,-0.094,-0.016,-0.044
